nivel_influencia,simulacion,entropia,gini,optativa_1,optativa_2,optativa_3,optativa_4,optativa_5,optativa_6,optativa_7
0.0,0,2.8032260386220655,0.04081632653061224,10,10,10,9,11,11,9
0.0,1,2.78178867945147,0.10204081632653061,14,9,10,11,10,8,8
0.0,2,2.726242526525094,0.18775510204081633,9,10,14,16,7,8,6
0.0,3,2.7021531939669665,0.20408163265306123,6,14,14,14,10,5,7
0.0,4,2.736962544807096,0.17142857142857143,7,8,8,16,11,7,13
0.0,5,2.774335074014626,0.11020408163265306,12,12,6,9,10,9,12
0.0,6,2.7082215137929992,0.19591836734693877,4,9,10,8,12,17,10
0.0,7,2.7359833162952443,0.17551020408163265,6,9,13,15,10,6,11
0.0,8,2.746398401340967,0.16326530612244897,11,8,13,15,6,8,9
0.0,9,2.7485952349737333,0.15918367346938775,9,13,6,14,9,7,12
0.0,10,2.774212290752012,0.11836734693877551,9,12,9,8,12,13,7
0.0,11,2.7393800555398817,0.17142857142857143,12,7,11,6,9,16,9
0.0,12,2.780735944111081,0.10612244897959183,13,8,12,8,11,10,8
0.0,13,2.7646607106183945,0.1346938775510204,13,11,8,9,10,6,13
0.0,14,2.785095113299022,0.09795918367346938,10,13,8,12,9,10,8
0.0,15,2.7311745774302025,0.17959183673469387,15,9,13,12,8,8,5
0.0,16,2.7577185490392533,0.14285714285714285,11,13,7,9,13,11,6
0.0,17,2.683863636990422,0.22857142857142856,15,7,4,7,16,10,11
0.0,18,2.732808266402076,0.17551020408163265,8,13,6,6,14,13,10
0.0,19,2.7781529517198806,0.11428571428571428,11,9,7,12,10,8,13
0.0,20,2.7724928032729164,0.12244897959183673,7,9,8,13,13,11,9
0.0,21,2.683054738142483,0.22857142857142856,6,9,13,7,10,19,6
0.0,22,2.745879850667535,0.16326530612244897,13,10,10,7,9,15,6
0.0,23,2.7703208590653587,0.12244897959183673,11,10,12,6,8,10,13
0.0,24,2.7409477997624268,0.16326530612244897,5,9,8,10,14,10,14
0.0,25,2.7025221658794822,0.21224489795918366,8,5,12,17,13,8,7
0.0,26,2.74735324284395,0.15918367346938775,9,10,6,14,7,10,14
0.0,27,2.7359833162952447,0.17551020408163265,6,11,9,6,10,15,13
0.0,28,2.736127952736066,0.17142857142857143,11,11,7,5,9,12,15
0.0,29,2.7325322460068704,0.17959183673469387,9,5,13,10,7,15,11
0.0,30,2.7262425265250942,0.18775510204081633,7,8,16,14,9,10,6
0.0,31,2.7155781663669423,0.17551020408163265,12,14,11,12,4,11,6
0.0,32,2.7513131059577303,0.1469387755102041,13,5,11,11,13,9,8
0.0,33,2.745879850667535,0.16326530612244897,10,15,13,10,7,6,9
0.0,34,2.777848018483601,0.11020408163265306,14,9,9,8,8,10,12
0.0,35,2.7373337816462984,0.16326530612244897,10,16,5,9,9,9,12
0.0,36,2.650256257277682,0.24081632653061225,7,21,11,9,9,4,9
0.0,37,2.71307203617078,0.18775510204081633,10,5,12,5,15,11,12
0.0,38,2.6744395064517072,0.23265306122448978,5,9,11,13,17,4,11
0.0,39,2.779205687060269,0.10612244897959183,7,10,9,9,10,11,14
0.0,40,2.780151954232594,0.09387755102040816,12,6,11,11,11,9,10
0.0,41,2.7394744075860116,0.1673469387755102,10,13,15,5,10,9,8
